Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
18 Oct,Championship,Spring,r4,1,Helter Skelter,0,2,1,2:48:40,10120.0,8541.0,8541.0,3.0,3.0,-,,,,,0.8440000000000001,0.844,0.0,0.844,0.0,0.844,0.844
18 Oct,Championship,Spring,r4,1,Revs,0,2,1,2:41:23,9683.0,8724.0,8541.0,4.0,4.0,-,0.9,3.0,,,0.9009999999999999,0.901,-0.0,0.882,-2.11,0.882,0.894
18 Oct,Championship,Spring,r4,1,Wedgetail,0,2,1,2:45:36,9936.0,9459.0,8541.0,5.0,5.0,-,0.945,4.0,1.209,1.0,0.9520000000000001,0.952,0.0,0.86,-9.66,0.923,0.943
18 Oct,Championship,Spring,r4,2,Floating Free,0,2,1,2:25:45,8745.0,6182.0,6480.0,1.0,1.0,-,,,,,0.7070000000000001,0.707,0.0,0.741,4.81,0.728,0.713
18 Oct,Championship,Spring,r4,2,After Midnight,0,2,1,2:24:20,8660.0,6226.0,6480.0,2.0,2.0,-,0.725,1.0,,,0.72,0.719,0.001,0.748,4.03,0.741,0.726
18 Oct,Championship,Spring,r4,2,Incantare,0,2,1,2:33:07,9187.0,6283.0,6480.0,3.0,3.0,-,0.725,7.0,,,0.684,0.684,0.0,0.705,3.07,0.705,0.69
18 Oct,Championship,Spring,r4,2,Eat My Shorts,0,2,1,2:21:49,8509.0,6305.0,6480.0,4.0,4.0,-,0.74,2.0,,,0.741,0.741,0.0,0.762,2.83,0.762,0.749
18 Oct,Championship,Spring,r4,2,Montego Bay III,0,2,1,2:29:05,8945.0,6368.0,6480.0,5.0,5.0,-,,,,,0.713,0.712,0.001,0.725,1.83,0.725,0.717
18 Oct,Championship,Spring,r4,2,Whistler III,0,2,1,2:25:16,8716.0,6432.0,6480.0,6.0,6.0,-,0.74,5.0,0.95,2.0,0.7390000000000001,0.738,0.001,0.744,0.81,0.744,0.739
18 Oct,Championship,Spring,r4,2,Wiseguy,0,2,1,2:34:44,9284.0,6480.0,6480.0,7.0,7.0,-,0.725,8.0,,,0.698,0.698,0.0,0.698,0.0,0.698,0.699
